training	C	1.16e+02	1.00e+00	0.41600000000000004	0.41540432
training	C	1.32e+02	1.00e+00	0.389	0.38984042
training	C	1.37e+02	1.00e+00	0.38	0.38146943
training	C	1.42e+02	1.00e+00	0.37	0.37289524
training	C	1.48e+02	1.00e+00	0.358	0.36232042
training	C	1.16e+02	5.00e+01	0.42	0.42059186
training	C	1.21e+02	5.00e+01	0.413	0.41312903
training	C	1.27e+02	5.00e+01	0.40399999999999997	0.4039898
training	C	1.32e+02	5.00e+01	0.396	0.39620885
training	C	1.37e+02	5.00e+01	0.387	0.38826746
training	C	1.42e+02	5.00e+01	0.37799999999999995	0.38015494
training	C	1.48e+02	5.00e+01	0.36700000000000005	0.37017938
training	C	1.27e+02	1.00e+02	0.409	0.40951133
training	C	1.32e+02	1.00e+02	0.402	0.40208128
training	C	1.37e+02	1.00e+02	0.39399999999999996	0.39451602
training	C	1.42e+02	1.00e+02	0.386	0.38680688
training	C	1.48e+02	1.00e+02	0.376	0.3773538
training	C	1.53e+02	1.00e+02	0.36700000000000005	0.3692975
training	C	1.16e+02	2.50e+02	0.436	0.43774584
training	C	1.21e+02	2.50e+02	0.43	0.43127772
training	C	1.32e+02	2.50e+02	0.41600000000000004	0.41679573
training	C	1.37e+02	2.50e+02	0.409	0.41008618
training	C	1.42e+02	2.50e+02	0.40299999999999997	0.40328997
training	C	1.48e+02	2.50e+02	0.395	0.39501283
training	C	1.53e+02	2.50e+02	0.38799999999999996	0.38800767
training	C	1.21e+02	5.00e+02	0.445	0.44770887
training	C	1.27e+02	5.00e+02	0.43799999999999994	0.44079244
training	C	1.37e+02	5.00e+02	0.428	0.42916316
training	C	1.48e+02	5.00e+02	0.41700000000000004	0.41620257
training	C	1.21e+02	7.50e+02	0.45799999999999996	0.4602571
training	C	1.27e+02	7.50e+02	0.452	0.45391253
training	C	1.32e+02	7.50e+02	0.447	0.44861564
training	C	1.37e+02	7.50e+02	0.442	0.44330865
training	C	1.42e+02	7.50e+02	0.43700000000000006	0.43798983
training	C	1.48e+02	7.50e+02	0.43200000000000005	0.4315904
training	C	1.16e+02	1.00e+03	0.47200000000000003	0.4753108
training	C	1.21e+02	1.00e+03	0.46799999999999997	0.47043553
training	C	1.27e+02	1.00e+03	0.46299999999999997	0.46453238
training	C	1.32e+02	1.00e+03	0.45799999999999996	0.45957106
training	C	1.37e+02	1.00e+03	0.45399999999999996	0.45460463
training	C	1.42e+02	1.00e+03	0.45	0.44964
training	C	1.48e+02	1.00e+03	0.445	0.44368422
training	C	1.53e+02	1.00e+03	0.44	0.43872195
training	CC	1.15e+02	1.00e+00	0.617	0.61470735
training	CC	1.70e+02	1.00e+00	0.547	0.547328
training	CC	2.07e+02	1.00e+00	0.49200000000000005	0.49639687
training	CC	2.26e+02	1.00e+00	0.461	0.4678847
training	CC	2.44e+02	1.00e+00	0.42700000000000005	0.43897697
training	CC	1.15e+02	5.00e+01	0.619	0.6178503
training	CC	1.33e+02	5.00e+01	0.598	0.5973978
training	CC	1.52e+02	5.00e+01	0.575	0.5744055
training	CC	1.70e+02	5.00e+01	0.552	0.55193716
training	CC	1.89e+02	5.00e+01	0.527	0.5273969
training	CC	2.07e+02	5.00e+01	0.501	0.5031092
training	CC	2.26e+02	5.00e+01	0.47100000000000003	0.47609964
training	CC	2.44e+02	5.00e+01	0.44	0.4489541
training	CC	1.15e+02	1.00e+02	0.622	0.6208804
training	CC	1.33e+02	1.00e+02	0.601	0.6006533
training	CC	1.52e+02	1.00e+02	0.578	0.5781243
training	CC	1.70e+02	1.00e+02	0.556	0.55631137
training	CC	1.89e+02	1.00e+02	0.5329999999999999	0.53262925
training	CC	2.07e+02	1.00e+02	0.509	0.50934994
training	CC	2.44e+02	1.00e+02	0.452	0.4580402
training	CC	1.15e+02	2.50e+02	0.628	0.6290665
training	CC	1.52e+02	2.50e+02	0.5870000000000001	0.58810115
training	CC	2.07e+02	2.50e+02	0.527	0.5252434
training	CC	2.26e+02	2.50e+02	0.504	0.50253594
training	CC	2.44e+02	2.50e+02	0.48100000000000004	0.4803415
training	CC	1.15e+02	5.00e+02	0.638	0.6404037
training	CC	1.52e+02	5.00e+02	0.599	0.60198563
training	CC	1.70e+02	5.00e+02	0.5820000000000001	0.5835224
training	CC	2.26e+02	5.00e+02	0.529	0.52591205
training	CC	2.44e+02	5.00e+02	0.512	0.5071226
training	CC	1.33e+02	7.50e+02	0.63	0.6322266
training	CC	1.52e+02	7.50e+02	0.611	0.6137424
training	CC	1.70e+02	7.50e+02	0.595	0.5964646
training	CC	1.89e+02	7.50e+02	0.578	0.57841
training	CC	2.07e+02	7.50e+02	0.562	0.5614332
training	CC	2.26e+02	7.50e+02	0.546	0.5436115
training	CC	1.15e+02	1.00e+03	0.653	0.6586972
training	CC	1.52e+02	1.00e+03	0.621	0.62421
training	CC	1.70e+02	1.00e+03	0.606	0.6077795
training	CC	2.07e+02	1.00e+03	0.5760000000000001	0.57475
training	CC	2.26e+02	1.00e+03	0.561	0.5581293
training	CC	2.44e+02	1.00e+03	0.547	0.54257995
training	CCC	1.37e+02	1.00e+00	0.688	0.6893493
training	CCC	1.63e+02	1.00e+00	0.659	0.6603695
training	CCC	1.90e+02	1.00e+00	0.628	0.62930596
training	CCC	2.16e+02	1.00e+00	0.596	0.5979318
training	CCC	2.43e+02	1.00e+00	0.562	0.5630312
training	CCC	2.69e+02	1.00e+00	0.525	0.5263586
training	CCC	2.96e+02	1.00e+00	0.483	0.48409036
training	CCC	1.10e+02	5.00e+01	0.721	0.71964693
training	CCC	1.37e+02	5.00e+01	0.691	0.6918611
training	CCC	1.63e+02	5.00e+01	0.662	0.66347766
training	CCC	1.90e+02	5.00e+01	0.632	0.6333874
training	CCC	2.43e+02	5.00e+01	0.569	0.5702168
training	CCC	2.96e+02	5.00e+01	0.495	0.4970351
training	CCC	1.10e+02	1.00e+02	0.722	0.72182024
training	CCC	1.63e+02	1.00e+02	0.665	0.666449
training	CCC	1.90e+02	1.00e+02	0.636	0.6372326
training	CCC	2.16e+02	1.00e+02	0.607	0.6082708
training	CCC	2.43e+02	1.00e+02	0.5760000000000001	0.57677567
training	CCC	2.69e+02	1.00e+02	0.5429999999999999	0.5445384
training	CCC	2.96e+02	1.00e+02	0.507	0.50847125
training	CCC	1.10e+02	2.50e+02	0.727	0.72772855
